id,uuid,response,latitude,longitude,displayed_at_UTC,recorded_at_UTC,prompt_num,displayed_at_epoch,recorded_at_epoch
47,A,Walk,43.6570457,-79.4396217,2017-09-10T09:51:57-04:00,2017-09-10T11:02:09-04:00,1,1505051517,1505055729
48,A,Other shopping,43.6570457,-79.4396217,2017-09-10T09:51:57-04:00,2017-09-10T11:02:09-04:00,2,1505051517,1505055729
49,B,Walk,43.662747,-79.398378,2018-05-23T08:12:24-04:00,2018-05-23T08:12:45-04:00,1,1527077544,1527077565
50,B,Work-related,43.662747,-79.398378,2018-05-23T08:12:24-04:00,2018-05-23T08:12:45-04:00,2,1527077544,1527077565
51,B,Walk,43.663555,-79.392706,2018-05-23T14:55:26-04:00,2018-05-23T14:56:12-04:00,1,1527101726,1527101772
52,B,Recreation,43.663555,-79.392706,2018-05-23T14:55:26-04:00,2018-05-23T14:56:12-04:00,2,1527101726,1527101772
53,B,Walk,43.664214,-79.394723,2018-05-23T15:02:01-04:00,2018-05-23T15:03:28-04:00,1,1527102121,1527102208
54,B,Recreation,43.664214,-79.394723,2018-05-23T15:02:01-04:00,2018-05-23T15:03:28-04:00,2,1527102121,1527102208
55,B,Walk,43.663021,-79.398261,2018-05-23T16:03:21-04:00,2018-05-23T16:24:46-04:00,1,1527105801,1527107086
56,B,Recreation,43.663021,-79.398261,2018-05-23T16:03:21-04:00,2018-05-23T16:24:46-04:00,2,1527105801,1527107086
57,B,Walk,43.658792,-79.394738,2018-05-23T16:52:28-04:00,2018-05-23T18:11:27-04:00,1,1527108748,1527113487
58,B,Meal or snack,43.658792,-79.394738,2018-05-23T16:52:28-04:00,2018-05-23T18:11:27-04:00,2,1527108748,1527113487
59,B,Walk,43.64625,-79.392959,2018-05-23T18:35:48-04:00,2018-05-23T18:39:31-04:00,1,1527114948,1527115171
60,B,Returning home,43.64625,-79.392959,2018-05-23T18:35:48-04:00,2018-05-23T18:39:31-04:00,2,1527114948,1527115171
61,B,Walk,43.645715,-79.394928,2018-05-23T19:36:11-04:00,2018-05-23T19:59:42-04:00,1,1527118571,1527119982
62,B,Other shopping,43.645715,-79.394928,2018-05-23T19:36:11-04:00,2018-05-23T19:59:42-04:00,2,1527118571,1527119982
63,B,Public transit,43.663207,-79.39828,2018-05-24T10:09:50-04:00,2018-05-24T10:33:32-04:00,1,1527170990,1527172412
64,B,Work-related,43.663207,-79.39828,2018-05-24T10:09:50-04:00,2018-05-24T10:33:32-04:00,2,1527170990,1527172412
65,B,Walk,43.648108,-79.394116,2018-05-24T14:10:04-04:00,2018-05-24T14:11:33-04:00,1,1527185404,1527185493
66,B,Other shopping,43.648108,-79.394116,2018-05-24T14:10:04-04:00,2018-05-24T14:11:33-04:00,2,1527185404,1527185493
67,B,Walk,43.646163,-79.392989,2018-05-24T14:19:47-04:00,2018-05-24T14:20:16-04:00,1,1527185987,1527186016
68,B,Returning home,43.646163,-79.392989,2018-05-24T14:19:47-04:00,2018-05-24T14:20:16-04:00,2,1527185987,1527186016
69,B,Walk,43.648266,-79.385126,2018-05-24T18:44:28-04:00,2018-05-24T19:49:08-04:00,1,1527201868,1527205748
70,B,Doing something for your family,43.648266,-79.385126,2018-05-24T18:44:28-04:00,2018-05-24T19:49:08-04:00,2,1527201868,1527205748
71,B,Public transit,43.646037,-79.39261,2018-05-24T20:10:27-04:00,2018-05-24T20:26:20-04:00,1,1527207027,1527207980
72,B,Returning home,43.646037,-79.39261,2018-05-24T20:10:27-04:00,2018-05-24T20:26:20-04:00,2,1527207027,1527207980
73,B,Walk,43.646483,-79.395252,2018-05-25T09:12:14-04:00,2018-05-25T09:12:33-04:00,1,1527253934,1527253953
74,B,Meal or snack,43.646483,-79.395252,2018-05-25T09:12:14-04:00,2018-05-25T09:12:33-04:00,2,1527253934,1527253953
75,B,Other ,43.646273,-79.393005,2018-05-25T10:53:16-04:00,2018-05-25T10:54:18-04:00,1,1527259996,1527260058
76,B,Recreation,43.646273,-79.393005,2018-05-25T10:53:16-04:00,2018-05-25T10:54:18-04:00,2,1527259996,1527260058
77,B,Other ,43.646495,-79.393412,2018-05-25T17:02:15-04:00,2018-05-25T17:03:07-04:00,1,1527282135,1527282187
78,B,Other,43.646495,-79.393412,2018-05-25T17:02:15-04:00,2018-05-25T17:03:07-04:00,2,1527282135,1527282187
79,B,Walk,43.650213,-79.388952,2018-05-25T17:39:32-04:00,2018-05-25T17:40:02-04:00,1,1527284372,1527284402
