user_id,sequence,location_id,mode,unknown,local_start_time,unix_start_time
B,39,,walk,,2018-05-25 18:44:00,1527288240
B,40,13,,,2018-05-25 18:54:00,1527288840
B,41,,walk,,2018-05-25 19:40:00,1527291600
B,42,1,,,2018-05-25 20:00:00,1527292800
B,43,,walk,,2018-05-26 09:00:00,1527339600
B,44,14,,,2018-05-26 09:05:00,1527339900
B,45,,walk,,2018-05-26 09:15:00,1527340500
B,46,1,,,2018-05-26 09:17:00,1527340620
B,47,,,TRUE,2018-05-26 09:38:00,1527341880
B,48,,walk,,2018-05-26 10:54:00,1527346440
B,49,15,,,2018-05-26 11:00:00,1527346800
B,50,,walk,,2018-05-26 11:35:00,1527348900
B,51,16,,,2018-05-26 11:44:00,1527349440
B,52,,walk,,2018-05-26 11:55:00,1527350100
B,53,1,,,2018-05-26 12:05:00,1527350700
B,54,,,TRUE,2018-05-26 18:29:00,1527373740
B,55,,walk,,2018-05-27 17:52:00,1527457920
B,56,1,,,2018-05-27 17:58:00,1527458280
B,57,,,TRUE,2018-05-27 17:58:00,1527458280
B,58,,taxi,,2018-05-28 10:31:00,1527517860
B,59,17,,,2018-05-28 10:59:00,1527519540
B,60,,walk,,2018-05-28 11:05:00,1527519900
B,61,18,,,2018-05-28 11:12:00,1527520320
B,62,,walk,,2018-05-28 11:50:00,1527522600
B,63,19,,,2018-05-28 11:55:00,1527522900
B,64,,walk,,2018-05-28 12:30:00,1527525000
B,65,17,,,2018-05-28 12:39:00,1527525540
B,66,,walk,,2018-05-28 13:15:00,1527527700
B,67,20,,,2018-05-28 13:32:00,1527528720
B,68,,walk/bike,,2018-05-28 17:25:00,1527542700
B,69,21,,,2018-05-28 17:48:00,1527544080
B,70,,walk,,2018-05-28 19:11:00,1527549060
B,71,,,TRUE,2018-05-28 19:30:00,1527550200
C,1,,,TRUE,2018-05-22 19:44:00,1527032640
C,2,,car,,2018-05-23 13:49:00,1527097740
C,3,1,,,2018-05-23 13:51:00,1527097860
C,4,,walk,,2018-05-23 16:40:00,1527108000
C,5,2,,,2018-05-23 16:50:00,1527108600
C,6,,walk,,2018-05-23 16:55:00,1527108900
C,7,1,,,2018-05-23 17:05:00,1527109500
C,8,,walk,,2018-05-24 08:40:00,1527165600
C,9,3,,,2018-05-24 09:00:00,1527166800
C,10,,walk,,2018-05-24 09:05:00,1527167100
C,11,1,,,2018-05-24 09:18:00,1527167880
C,12,,car,,2018-05-24 14:10:00,1527185400
C,13,3,,,2018-05-24 14:16:00,1527185760
C,14,,car,,2018-05-24 14:25:00,1527186300
